Date,Period,Project,CDS Adoption,Num of CDS components Used,Design Impact,Engineering Impact,Total Impact
12/15/2021,Q42021,assethub-admin,0.8178391959798995,651,4557,4557,152
12/15/2021,Q42021,assethub-web,0.7966305655836342,662,4634,4634,155
12/15/2021,Q42021,maui,0.15714285714285714,44,308,308,11
12/15/2021,Q42021,prime-mobile,0.9009009009009009,400,2800,2800,94
12/15/2021,Q42021,prime-web,0.7689687209662435,2483,17381,17381,580
12/15/2021,Q42021,retail-mobile,0.8763561219218184,5089,35623,35623,1188
12/15/2021,Q42021,retail-web-logged-in,0.5213295653344099,3874,27118,27118,904
12/15/2021,Q42021,retail-web-logged-out,0.3325572370974001,857,5999,5999,200
12/15/2021,Q42021,tax-center,0.9180124223602485,739,5173,5173,173
12/15/2021,Q42021,two-factor-web,1,53,371,371,13
12/15/2021,Q42021,umo,0.8483245149911817,481,3367,3367,113
12/15/2021,Q42021,unified-accounts,0.8701399688958009,1119,7833,7833,262
12/15/2021,Q42021,unified-business-onboarding,0.8297872340425532,1326,9282,9282,310
12/15/2021,Q42021,unified-login,0.9923076923076923,129,903,903,31
12/15/2021,Q42021,wallet-extension,0.7914046121593291,755,5285,5285,177
3/23/2022,Q12022,assethub-admin,0.8631368631368631,864,6048,6048,202
3/23/2022,Q12022,assethub-web,0.8274161735700197,839,5873,5873,196
3/23/2022,Q12022,maui,0.18810679611650485,155,1085,1085,37
3/23/2022,Q12022,prime-admin,0.7969835871654591,5390,37730,37730,1258
3/23/2022,Q12022,prime-mobile,0.8986486486486487,399,2793,2793,94
3/23/2022,Q12022,prime-web,0.7824926607953029,2932,20524,20524,685
3/23/2022,Q12022,retail-mobile,0.8461743180306055,6359,44513,44513,1484
3/23/2022,Q12022,retail-web-identity,0.4926787252368648,572,4004,4004,134
3/23/2022,Q12022,retail-web-logged-in,0.5977560276915732,5008,35056,35056,1169
3/23/2022,Q12022,retail-web-logged-out,0.44211785821118754,1478,10346,10346,345
3/23/2022,Q12022,tax-center,0.9211538461538461,958,6706,6706,224
3/23/2022,Q12022,two-factor-web,1,119,833,833,28
3/23/2022,Q12022,umo,0.7541899441340782,540,3780,3780,126
3/23/2022,Q12022,unified-accounts,0.8838630806845966,1446,10122,10122,338
3/23/2022,Q12022,unified-business-onboarding,0.8526630164260827,1713,11991,11991,400
3/23/2022,Q12022,unified-login,0.9803921568627451,250,1750,1750,59
3/23/2022,Q12022,wallet-extension,0.8687350835322196,1092,7644,7644,255
3/23/2022,Q12022,wallet-react-native,0.9585635359116023,2082,14574,14574,486
3/23/2022,Q12022,yield-mobile,0.8709677419354839,189,1323,1323,45
3/23/2022,Q12022,yield-web,0.9701492537313433,260,1820,1820,61
6/22/2022,Q22022,assethub-admin,0.8742857142857143,1071,7497,7497,250
6/22/2022,Q22022,assethub-web,0.8482060717571297,922,6454,6454,216
6/22/2022,Q22022,maui,0.21247429746401644,310,2170,2170,73
6/22/2022,Q22022,prime-admin,0.8197409450707603,6835,47845,47845,1595
6/22/2022,Q22022,prime-mobile,0.8986486486486487,399,2793,2793,94
6/22/2022,Q22022,prime-web,0.805749650628868,4036,28252,28252,942
6/22/2022,Q22022,retail-mobile,0.8528445809937494,8050,56350,56350,1879
6/22/2022,Q22022,retail-web-logged-in,0.6668017014381203,6584,46088,46088,1537
6/22/2022,Q22022,retail-web-logged-out,0.5144965735371639,1952,13664,13664,456
6/22/2022,Q22022,tax-center,0.9273356401384083,1072,7504,7504,251
6/22/2022,Q22022,two-factor-web,1,118,826,826,28
6/22/2022,Q22022,umo,0.8398268398268398,776,5432,5432,182
6/22/2022,Q22022,unified-accounts,0.8990874932903918,1675,11725,11725,391
6/22/2022,Q22022,unified-business-onboarding,0.8718937446443873,2035,14245,14245,475
6/22/2022,Q22022,unified-login,0.980544747081712,252,1764,1764,59
6/22/2022,Q22022,wallet-extension,0.8821138211382114,1953,13671,13671,456
6/22/2022,Q22022,yield-mobile,0.8920863309352518,248,1736,1736,58
6/22/2022,Q22022,yield-web,0.9748427672955975,310,2170,2170,73
9/21/2022,Q32022,assethub-admin,0.8824979457682827,1074,7518,7518,251
9/21/2022,Q32022,assethub-web,0.8439201451905626,930,6510,6510,217
9/21/2022,Q32022,maui,0.27845754542083795,751,5257,5257,176
9/21/2022,Q32022,prime-admin,0.8547742238946379,7269,50883,50883,1697
9/21/2022,Q32022,prime-mobile,0.9179389312977099,481,3367,3367,113
9/21/2022,Q32022,prime-web,0.8505722763883001,4013,28091,28091,937
9/21/2022,Q32022,retail-mobile,0.8918764302059496,9354,65478,65478,2183
9/21/2022,Q32022,retail-web-identity,0.5538945712037766,704,4928,4928,165
9/21/2022,Q32022,retail-web-logged-in,0.7025116279069767,7552,52864,52864,1763
9/21/2022,Q32022,retail-web-logged-out,0.601512373968836,2625,18375,18375,613
9/21/2022,Q32022,tax-center,0.9302147239263804,1213,8491,8491,284
9/21/2022,Q32022,two-factor-web,1,118,826,826,28
9/21/2022,Q32022,umo,0.8612933458294283,919,6433,6433,215
9/21/2022,Q32022,unified-accounts,0.9041362530413626,1858,13006,13006,434
9/21/2022,Q32022,unified-business-onboarding,0.8782608695652174,2222,15554,15554,519
9/21/2022,Q32022,unified-login,0.9737827715355806,260,1820,1820,61
9/21/2022,Q32022,wallet-extension,0.9300723389596969,2700,18900,18900,630
9/21/2022,Q32022,wallet-react-native,0.9760858955588092,4000,28000,28000,934
9/21/2022,Q32022,yield-mobile,0.9175824175824175,167,1169,1169,39
9/21/2022,Q32022,yield-web,0.9755351681957186,319,2233,2233,75
12/15/2022,Q42022,assethub-admin,0.8849144634525661,1138,7966,7966,266
12/15/2022,Q42022,assethub-web,0.8452380952380952,994,6958,6958,232
12/15/2022,Q42022,maui,0.2775346462436178,761,5327,5327,178
12/15/2022,Q42022,prime-admin,0.8826335877862596,8325,58275,58275,1943
12/15/2022,Q42022,prime-mobile,0.9201520912547528,484,3388,3388,113
12/15/2022,Q42022,prime-web,0.8734402852049911,4410,30870,30870,1029
12/15/2022,Q42022,retail-mobile,0.908600278551532,10438,73066,73066,2436
12/15/2022,Q42022,retail-web-identity,0.6655844155844156,820,5740,5740,192
12/15/2022,Q42022,retail-web-logged-in,0.7273032669858067,8660,60620,60620,2021
12/15/2022,Q42022,retail-web-logged-out,0.6253687315634219,2756,19292,19292,644
12/15/2022,Q42022,tax-center,0.9359543436905516,1476,10332,10332,345
12/15/2022,Q42022,two-factor-web,1,130,910,910,31
12/15/2022,Q42022,umo,0.8804440649017934,1031,7217,7217,241
12/15/2022,Q42022,unified-accounts,0.9126712328767124,2132,14924,14924,498
12/15/2022,Q42022,unified-business-onboarding,0.8891242937853108,2518,17626,17626,588
12/15/2022,Q42022,unified-login,0.977491961414791,304,2128,2128,71
12/15/2022,Q42022,wallet-extension,0.9397042093287827,2478,17346,17346,579
12/15/2022,Q42022,wallet-react-native,0.9746308216584627,5148,36036,36036,1202
12/15/2022,Q42022,yield-mobile,0.9411764705882353,208,1456,1456,49
12/15/2022,Q42022,yield-web,0.9795918367346939,288,2016,2016,68
