"name","occurances","import"
"VStack",308,"'@cbhq/cds-web/layout'"
"TextBody",250,"'@cbhq/cds-web/typography'"
"Box",205,"'@cbhq/cds-web/layout'"
"HStack",183,"'@cbhq/cds-web/layout'"
"TextHeadline",133,"'@cbhq/cds-web/typography/TextHeadline'"
"Spacer",119,"'@cbhq/cds-web/layout'"
"Column",118,"'@cbhq/prime-ui/components/table/builder/TableBuilder'"
"Button",105,"'@cbhq/cds-web/buttons'"
"Icon",97,"'@cbhq/cds-web/icons/Icon'"
"TextLabel1",80,"'@cbhq/cds-web/typography/TextLabel1'"
"TextCaption",69,"'@cbhq/cds-web/typography/TextCaption'"
"TableColumnInfo",65,"'@cbhq/prime-ui/components/table/column/TableColumnInfo'"
"Divider",64,"'@cbhq/cds-web/layout'"
"TextTitle3",60,"'@cbhq/cds-web/typography'"
"DialogContent",58,"'@cbhq/insto-ui-web/Dialog/DialogContent'"
"TextField",46,"local"
"TextLabel2",43,"'@cbhq/cds-web/typography'"
"LoadingSkeletonTable",30,"'@cbhq/insto-ui-web/loading/LoadingSkeletonTable'"
"button",30,"'@cbhq/cds-web/buttons/buttonStyles'"
"TableBuilder",29,"'@cbhq/prime-ui/components/table/builder/TableBuilder'"
"ChartsHeaderToolbar",29,"'@cbhq/prime-ui/pages/trade/charts/header/ChartsHeaderToolbar'"
"Dialog",28,"'@cbhq/insto-ui-web/Dialog/Dialog'"
"TextLegal",27,"'@cbhq/cds-web/typography/TextLegal'"
"path",25,"local"
"span",24,"local"
"SkeletonBox",23,"'@cbhq/insto-ui-web/loading/SkeletonBox'"
"IconButton",22,"'@cbhq/insto-ui-web/IconButton/IconButton'"
"Spinner",21,"'@cbhq/insto-ui-web/loading/Spinner'"
"Tooltip",21,"'@cbhq/insto-ui-web/Tooltip/Tooltip'"
"WrappedDialog",19,"'@cbhq/prime-ui/components/wrappedDialog/WrappedDialog'"
"SafeLink",18,"'@cbhq/insto-ui-web/safeLink/SafeLink'"
"LoadingSkeletonBox",18,"'@cbhq/insto-ui-web/loading/LoadingSkeletonBox'"
"CurrencyIcon",16,"'@cbhq/insto-ui-web/icons/currencyIcons/currencyIcon'"
"Option",15,"'@cbhq/insto-ui-web/Select/Option'"
"ChartTagValue",15,"local"
"Select",14,"'@cbhq/insto-ui-web/Select/Select'"
"DualIcon",13,"'@cbhq/insto-ui-web/DualIcon/DualIcon'"
"li",12,"local"
"Navigate",12,"'react-router-dom'"
"EmptyCaption",12,"'@cbhq/prime-ui/components/table/caption/EmptyCaption'"
"TRow",12,"'@cbhq/prime-ui/modals/transferFlow/components/Table'"
"ProfilePhotoPlaceholder",11,"'@cbhq/prime-ui/components/profilePhotoPlaceholder/ProfilePhotoPlaceholder'"
"Link",11,"'react-router-dom'"
"PopoverIconButton",11,"'@cbhq/insto-ui-web/PopoverIconButton/PopoverIconButton'"
"Text",11,"local"
"VolumeChartTag",11,"'@cbhq/prime-ui/pages/trade/charts/candles/ChartTags'"
"TextDisplay2",10,"'@cbhq/cds-web/typography'"
"Checkbox",10,"'@cbhq/cds-web/controls'"
"TransfersDialog",10,"'@cbhq/prime-ui/modals/transferFlow/TransfersDialog'"
"StatSkeleton",10,"'./Stat'"
"Tab",10,"'@cbhq/insto-ui-web/Tabs/Tab/Tab'"
"HCell",10,"'@cbhq/insto-ui-web/Table/VirtualTable/VirtualTable'"
"Cell",10,"'@cbhq/insto-ui-web/Table/VirtualTable/VirtualTable'"
"ChartSettingsInput",10,"local"
"a",9,"local"
"THeaderCell",9,"'@cbhq/prime-ui/modals/transferFlow/components/Table'"
"TCell",9,"'@cbhq/prime-ui/modals/transferFlow/components/Table'"
"ValueCell",9,"'@cbhq/prime-ui/pages/settings/security/InformationListRow'"
"Stat",9,"'./Stat'"
"CorePageLayout",8,"'@cbhq/prime-ui/pages/layout/CorePageLayout'"
"Pill",8,"'@cbhq/insto-ui-web/Pill/Pill'"
"StatusColumn",8,"'@cbhq/prime-ui/components/table/column/StatusColumn'"
"DisplayOption",8,"'@cbhq/prime-ui/modals/transferFlow/components/DisplayOption'"
"SelectWalletAutocomplete",8,"'@cbhq/prime-ui/modals/selectWalletFlow/SelectWalletAutocomplete'"
"tr",8,"local"
"Avatar",8,"'@cbhq/insto-ui-web/avatar/Avatar'"
"TableColumn",8,"'@cbhq/prime-ui/components/table/builder/TableBuilder'"
"Component",8,"local"
"MacdChartTag",8,"'@cbhq/prime-ui/pages/trade/charts/candles/ChartTags'"
"RsiChartTag",8,"'@cbhq/prime-ui/pages/trade/charts/candles/ChartTags'"
"PriceVolumeChartTag",8,"'@cbhq/prime-ui/pages/trade/charts/candles/ChartTags'"
"TextTitle1",7,"'@cbhq/cds-web/typography'"
"CursorPagination",7,"'@cbhq/prime-ui/components/table/CursorPagination'"
"img",7,"local"
"SkeletonLoader",7,"'@cbhq/insto-ui-web/loading/SkeletonLoader'"
"td",7,"local"
"MultiSelectOption",7,"'@cbhq/insto-ui-web/MultiSelect/MultiSelect'"
"Currency",7,"'@instant-api-hooks/prime/types/coinbase/custody/api/Currency'"
"CellRendererContainer",7,"'./CellRendererContainer'"
"ChartTagControlButtons",7,"'@cbhq/prime-ui/pages/trade/charts/candles/ChartTagControlButtons'"
"ul",6,"local"
"SupportText",6,"'@cbhq/prime-ui/components/supportText/SupportText'"
"ApiKeyInfoRow",6,"local"
"ConsensusCaption",6,"'@cbhq/prime-ui/components/consensusCaption/ConsensusCaption'"
"Table",6,"'@cbhq/prime-ui/modals/transferFlow/components/Table'"
"TextTitle2",6,"'@cbhq/cds-web/typography'"
"AutocompleteSelect",6,"'@cbhq/insto-ui-web/AutocompleteSelect/AutocompleteSelect'"
"TooltipRow",6,"local"
"MultiSelect",6,"'@cbhq/insto-ui-web/MultiSelect/MultiSelect'"
"InformationListRow",6,"'@cbhq/prime-ui/pages/settings/security/InformationListRow'"
"InfoCell",6,"'@cbhq/prime-ui/pages/settings/security/InformationListRow'"
"CurrencyInput",6,"'@cbhq/insto-ui-web/CurrencyInput/CurrencyInput'"
"BidAskSpread",6,"'@cbhq/prime-ui/pages/trade/ladder/LadderHeader/BidAskSpread'"
"EmaChartTag",6,"'@cbhq/prime-ui/pages/trade/charts/candles/ChartTags'"
"SmaChartTag",6,"'@cbhq/prime-ui/pages/trade/charts/candles/ChartTags'"
"BollingerBandsChartTag",6,"'@cbhq/prime-ui/pages/trade/charts/candles/ChartTags'"
"PercentageColumn",5,"'@cbhq/prime-ui/components/table/column/PercentageColumn'"
"AutocompleteSelectDropdownButton",5,"'@cbhq/insto-ui-web/AutocompleteSelect/AutocompleteSelectDropdown'"
"Popover",5,"'@cbhq/insto-ui-web/Popover/Popover'"
"PermissionsTableColumn",5,"local"
"TabsPanel",5,"'@cbhq/insto-ui-web/Tabs/TabsPanel'"
"LadderFooter",5,"'@cbhq/prime-ui/pages/trade/ladder/LadderFooter/LadderFooter'"
